"Date","Price","Open","High","Low","Vol.","Change %"
"03-08-2023","159,941","160,033","160,525","159,682","","-0.04%"
"02-08-2023","159,999","160,118","161,461","159,957","","-0.03%"
"01-08-2023","160,046","161,617","161,702","159,842","","-0.94%"
"31-07-2023","161,568","161,174","162,263","160,516","","0.29%"
"28-07-2023","161,095","159,874","161,502","159,651","","0.84%"
"27-07-2023","159,748","161,640","162,446","159,353","","-1.14%"
"26-07-2023","161,583","160,863","162,232","160,599","","0.49%"
"25-07-2023","160,798","159,885","160,998","159,803","","0.64%"
"24-07-2023","159,772","160,872","161,035","159,780","","-0.62%"
"21-07-2023","160,769","161,672","162,023","160,540","","-0.54%"
"20-07-2023","161,648","162,194","163,051","161,292","","-0.31%"
"19-07-2023","162,143","162,380","162,668","161,625","","-0.11%"
"18-07-2023","162,321","160,404","162,797","160,348","","1.16%"
"17-07-2023","160,453","160,452","160,851","159,690","","0.03%"
"14-07-2023","160,400","160,852","161,290","160,308","","-0.26%"
"13-07-2023","160,810","160,503","161,214","160,325","","0.25%"
"12-07-2023","160,405","159,191","160,773","159,051","","0.79%"
"11-07-2023","159,155","158,954","159,739","158,670","","0.19%"
"10-07-2023","158,847","159,050","159,307","158,019","","-0.13%"
"07-07-2023","159,051","158,170","159,822","157,860","","0.59%"
"06-07-2023","158,117","157,814","158,936","157,145","","0.22%"
"05-07-2023","157,774","157,873","159,132","157,697","","0.01%"
"04-07-2023","157,753","157,472","158,391","157,327","","0.20%"
"03-07-2023","157,433","157,575","158,209","156,439","","-0.09%"
"30-06-2023","157,581","156,705","157,783","155,930","","0.61%"
"29-06-2023","156,621","156,457","157,041","155,404","","0.14%"
"28-06-2023","156,406","156,941","157,245","156,150","","-0.27%"
"27-06-2023","156,834","157,667","158,305","156,731","","-0.43%"
"26-06-2023","157,505","157,763","158,645","157,560","","0.05%"
"23-06-2023","157,434","156,900","158,842","156,590","","0.48%"
"22-06-2023","156,688","158,354","158,554","156,727","","-1.03%"
"21-06-2023","158,321","158,830","159,128","157,428","","-0.27%"
"20-06-2023","158,751","159,768","160,675","158,301","","-0.62%"
"19-06-2023","159,734","160,389","160,512","159,602","","-0.35%"
"16-06-2023","160,297","160,367","161,193","159,999","","-0.01%"
"15-06-2023","160,310","159,221","160,671","158,265","","0.73%"
"14-06-2023","159,156","159,852","160,760","158,980","","-0.39%"
"13-06-2023","159,786","161,359","162,126","159,545","","-0.92%"
"12-06-2023","161,263","161,613","162,206","160,699","","-0.23%"
"09-06-2023","161,631","162,401","162,685","161,361","","-0.42%"
"08-06-2023","162,317","160,068","162,550","160,060","","1.44%"
"07-06-2023","160,008","162,019","162,561","160,052","","-1.21%"
"06-06-2023","161,966","161,944","162,448","161,351","","0.07%"
"05-06-2023","161,858","160,501","162,090","160,082","","0.86%"
"02-06-2023","160,478","162,716","163,282","160,459","","-1.34%"
"01-06-2023","162,665","162,256","163,278","161,099","","0.30%"
"31-05-2023","162,177","162,050","163,334","161,613","","0.14%"
"30-05-2023","161,943","160,617","162,378","159,871","","0.93%"
"29-05-2023","160,451","160,534","161,076","160,220","","-0.16%"
"26-05-2023","160,703","160,533","161,745","160,146","","0.07%"
"25-05-2023","160,585","161,807","162,601","160,425","","-0.73%"
"24-05-2023","161,761","163,578","164,055","161,778","","-1.10%"
"23-05-2023","163,555","163,367","163,831","161,857","","0.14%"
"22-05-2023","163,322","163,969","164,350","163,079","","-0.34%"
"19-05-2023","163,882","161,887","164,441","161,649","","1.24%"
"18-05-2023","161,872","163,314","163,599","161,550","","-0.85%"
"17-05-2023","163,267","163,685","164,093","162,746","","-0.21%"
"16-05-2023","163,603","165,883","166,257","163,388","","-1.33%"
