"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"P4R3 GOL5 9567
39","14-
Nov- 22","352
49",1,10.5,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9576
21","14-
Nov- 22","972
49",2,28.2,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9664
26","15-
Nov- 22","193
749",9,69.72,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9657
91","15-
Nov- 22","350
22",3,11.79,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9688
69","15-
Nov- 22","109
91",2,3.88,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9746
69","16-
Nov- 22","224
45",3,11.3,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9742
40","16-
Nov- 22","127
49",1,3.95,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL5 9776
56","16-
Nov- 22","347
57",1,12.7,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL6 0044
62","19-
Nov- 22","110
17",1,3.97,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P4R3 GOL6 0140
68","21-
Nov- 22","724
9",1,2.25,"15-
Jan
-24",Akot Yogiraj Lakadganj GL,,
"P578 GOL5 8778
18","04-
Nov- 22","114
53",3,4.2,"15-
Jan
-24",ALIBAG,Bajaj Finance Limited Keshraj Complex Frist Floor Plot No R29 Dandekar Automobailes Shribag No 3 Alibag Raigad 402201,
"P578 GOL5 9465
41","12-
Nov- 22","111
015",4,32.7,"15-
Jan
-24",ALIBAG,,
"P5T2 GOL5 8632
41","02-
Nov- 22","566
49",4,17.1,"16-
Jan
-24",Amalapuram Main Road GL,"GROUND FLOOR 3-2-40, K.Agraharam, Near Clock tower Amalapuram ? 533201",
"P5T2 GOL5 9136
73","09-
Nov- 22","574
49",1,21.4,"16-
Jan
-24",Amalapuram Main Road GL,,
P5T2 GOL5,"17-
Nov-
22","136
19",1,3.99,"16-
Jan
-24","Amalapuram Main Road
GL",,
"9852
43",,,,,,,,
"P07I GOL5 9070
76","08-
Nov- 22","170
349",1,51.7,"15-
Jan
-24",Amaravati GL,"Shop No-2, 1st Floor, Murari Complex, Opp Police Station, Shegaon Naka Sq.,  Paratwada Rd. Amravati, Maharashtra-444603",
"P07I GOL5 9142
05","09-
Nov- 22","523
45",1,15.6,"15-
Jan
-24",Amaravati GL,,
"P07I GOL5 9772
48","16-
Nov- 22","467
608",8,149.5,"15-
Jan
-24",Amaravati GL,,
"P07I GOL5 9773
20","16-
Nov- 22","135
000",2,49.9,"15-
Jan
-24",Amaravati GL,,
"P07I GOL6 0045
11","19-
Nov- 22","121
873",2,45.1,"15-
Jan
-24",Amaravati GL,,
